;Codigo_provincia;Provincia;Codigo_municipio;Total_vc_2021;Total_vu_2021;Alquiler_mes_vc_m2_2021;Alquiler_mes_vu_m2_2021;Comunidad_autonoma;Poblacion_2021;Inmuebles_totales;Viviendas_turisticas_2021;Turistas_2021;Porcentaje_viviendas_turisticas_2021;Total_casas_alquiler_2021;Porcentaje_viviendas_alquiler_2021;Porcentaje_vc_alquiler_2021;Porcentaje_vu_alquiler_2021
Almedinilla;14;Córdoba;14004;5.0;6.0;3.3556591234157507;2.7032598275321136;Andalucía;2352.0;1262.0;11;1108;0.8716323296354992;11.0;0.8716323296354992;0.3961965134706814;0.4754358161648177
Almenar;25;Lleida;25021;89.0;13.0;3.5;2.5;Cataluña;3365.0;1840.0;2;790;0.108695652173913;102.0;5.543478260869565;4.836956521739131;0.7065217391304348
Almenara;12;Castellón/Castelló;12011;228.0;45.0;4.96764466002747;3.76106194690266;Comunitat Valenciana;6254.0;5352.0;60;16802;1.1210762331838564;273.0;5.100896860986548;4.260089686098655;0.8408071748878924
Almendralejo;6;Badajoz;6011;633.0;103.0;3.33422330097087;3.07692307692308;Extremadura;33741.0;16823.0;3;33195;0.0178327290019616;736.0;4.374962848481246;3.7627058194138976;0.6122570290673482
Almensilla;41;Sevilla;41010;8.0;78.0;4.939061551348131;4.52519148731332;Andalucía;6287.0;2405.0;12;1885;0.498960498960499;86.0;3.575883575883576;0.3326403326403326;3.2432432432432434
Almería;4;Almería;4013;6993.0;669.0;5.71428571428571;4.43262411347518;Andalucía;200753.0;100618.0;1103;253805;1.096225327476197;7662.0;7.61493967282196;6.950048699039933;0.6648909737820271
Almodóvar del Campo;13;Ciudad Real;13015;12.0;23.0;2.86262831641404;3.19327731092437;Castilla-La Mancha;5947.0;4045.0;2;5364;0.0494437577255871;35.0;0.865265760197775;0.2966625463535228;0.5686032138442522
Almodóvar del Río;14;Córdoba;14005;20.0;44.0;3.84615384615385;3.47949151977596;Andalucía;8036.0;3789.0;49;3798;1.293217207706519;64.0;1.6891000263921878;0.5278437582475587;1.1612562681446292
Almogía;29;Málaga;29011;5.0;14.0;5.801511378442833;2.85393114861915;Andalucía;3859.0;1899.0;69;7249;3.6334913112164298;19.0;1.0005265929436546;0.2632964718272775;0.7372301211163771
Almoines;46;Valencia/Valéncia;46034;29.0;15.0;3.93258426966292;3.62903225806452;Comunitat Valenciana;2528.0;1227.0;13;600;1.0594947025264874;44.0;3.5859820700896496;2.363488182559087;1.2224938875305624
Almonte;21;Huelva;21005;91.0;145.0;4.82954545454545;4.08163265306122;Andalucía;24577.0;14174.0;326;77193;2.2999858896571186;236.0;1.6650204599971778;0.6420206011006068;1.0229998588965712
