;Total_vu;Alquiler_mes_vc_m2;Alquiler_mes_vu_m2;Comunidad_autonoma;Turistas;Porcentaje_vc_alquiler;Porcentaje_vu_alquiler
Andratx;400.0;8.13541666666667;6.06226741095162;3.0;389283;5.476716072742563;4.204772416692946
Andújar;49.0;3.27102803738318;3.16666666666667;0.0;21736;3.320659062103929;0.2484157160963244
Anglès;94.0;4.56855558021768;4.36105476673428;8.0;2322;9.444444444444445;3.73015873015873
Anna;15.0;2.42537313432836;2.36363636363636;10.0;1627;1.7672151127361364;0.9140767824497258
Antas;29.0;3.8120426764793;2.70343669761011;0.0;29952;1.6355140186915889;1.6939252336448598
Antas de Ulla;6.0;2.8216744173774844;2.2057685839005488;12.0;1917;0.4467134652201659;0.3828972559029994
Antequera;176.0;4.62962962962963;3.65853658536585;0.0;104884;4.4748603351955305;0.9832402234636872
Antigua;449.0;8.0;7.69230769230769;4.0;384328;1.5947857440022188;6.2265982526695325
Aracena;168.0;3.6036036036036;3.67861376945251;0.0;13353;1.769358867610325;3.497085761865113
Arafo;67.0;4.98633879781421;4.43548387096774;4.0;4306;1.912666907253699;2.417899675207506
Arahal;55.0;4.44444444444444;3.45858130081301;0.0;23514;0.357847976307996;0.6786771964461994
Aranda de Duero;38.0;5.60975609756098;4.92837247902503;6.0;63832;8.791153046213159;0.1927661948967686
Aranga;23.0;3.66003568353889;2.11540895061728;12.0;2126;0.0;2.072072072072072
Aranjuez;330.0;6.77083333333333;4.93421052631579;13.0;75610;14.0025524447635;1.316104331179708
Arbeca;9.0;3.79310344827586;3.147891427460225;8.0;3724;1.0424422933730455;0.6701414743112435
Arbo;20.0;4.185609799188884;2.3064350089497;12.0;87494;0.3539823008849557;0.8849557522123894
Arboleas;20.0;3.995843624895013;3.85015290519878;0.0;15792;0.1230012300123001;0.8200082000820008
Arboç, L';55.0;5.17241379310345;3.36904761904762;8.0;11358;13.493866424352568;2.498864152657883
Arbúcies;147.0;4.90178528779556;3.0952380952381;8.0;39610;9.439899307740715;4.625550660792952
